ID_Pelanggan,Gender,Usia,Pendapatan_Tahunan_Ribuan_USD,Pengeluaran_USD,Cluster
84,Wanita,46,54,44,0
85,Wanita,21,54,57,3
86,Pria,48,54,46,0
87,Wanita,55,57,58,1
88,Wanita,22,57,55,3
89,Wanita,34,58,60,3
90,Wanita,50,58,46,0
91,Wanita,68,59,55,1
92,Pria,18,59,41,3
93,Pria,48,60,49,0
94,Wanita,40,60,40,0
95,Wanita,32,60,42,0
96,Pria,24,60,52,3
97,Wanita,47,60,47,0
98,Wanita,27,60,50,3
99,Pria,48,61,42,0
100,Pria,20,61,49,3
101,Wanita,23,62,41,3
102,Wanita,49,62,48,0
103,Pria,67,62,59,1
104,Pria,26,62,55,3
105,Pria,49,62,56,0
106,Wanita,21,62,42,3
107,Wanita,66,63,50,1
108,Pria,54,63,46,1
109,Pria,68,63,43,1
110,Pria,66,63,48,1
111,Pria,65,63,52,1
112,Wanita,19,63,54,3
113,Wanita,38,64,42,0
114,Pria,19,64,46,3
115,Wanita,18,65,48,3
116,Wanita,19,65,50,3
117,Wanita,63,65,43,1
118,Wanita,49,65,59,0
119,Wanita,51,67,43,0
120,Wanita,50,67,57,0
121,Pria,27,67,56,3
122,Wanita,38,67,40,0
123,Wanita,40,69,58,0
124,Pria,39,69,91,4
125,Wanita,23,70,29,2
126,Wanita,31,70,77,4
127,Pria,43,71,35,0
128,Pria,40,71,95,4
129,Pria,59,71,11,2
130,Pria,38,71,75,4
131,Pria,47,71,9,2
132,Pria,39,71,75,4
133,Wanita,25,72,34,2
134,Wanita,31,72,71,4
135,Pria,20,73,5,2
136,Wanita,29,73,88,4
137,Wanita,44,73,7,2
138,Pria,32,73,73,4
139,Pria,19,74,10,2
140,Wanita,35,74,72,4
141,Wanita,57,75,5,2
142,Pria,32,75,93,4
143,Wanita,28,76,40,2
144,Wanita,32,76,87,4
145,Pria,25,77,12,2
146,Pria,28,77,97,4
147,Pria,48,77,36,2
148,Wanita,32,77,74,4
149,Wanita,34,78,22,2
150,Pria,34,78,90,4
151,Pria,43,78,17,2
152,Pria,39,78,88,4
153,Wanita,44,78,20,2
154,Wanita,38,78,76,4
155,Wanita,47,78,16,2
156,Wanita,27,78,89,4
157,Pria,37,78,1,2
158,Wanita,30,78,78,4
159,Pria,34,78,1,2
160,Wanita,30,78,73,4
161,Wanita,56,79,35,1
162,Wanita,29,79,83,4
163,Pria,19,81,5,2
164,Wanita,31,81,93,4
165,Pria,50,85,26,2
166,Wanita,36,85,75,4
167,Pria,42,86,20,2
168,Wanita,33,86,95,4
169,Wanita,36,87,27,2
170,Pria,32,87,63,4
171,Pria,40,87,13,2
172,Pria,28,87,75,4
173,Pria,36,87,10,2
174,Pria,36,87,92,4
175,Wanita,52,88,13,2
176,Wanita,30,88,86,4
177,Pria,58,88,15,2
178,Pria,27,88,69,4
179,Pria,59,93,14,2
180,Pria,35,93,90,4
181,Wanita,37,97,32,2
182,Wanita,32,97,86,4
183,Pria,46,98,15,2
184,Wanita,29,98,88,4
185,Wanita,41,99,39,2
186,Pria,30,99,97,4
187,Wanita,54,101,24,2
188,Pria,28,101,68,4
189,Wanita,41,103,17,2
190,Wanita,36,103,85,4
191,Wanita,34,103,23,2
192,Wanita,32,103,69,4
193,Pria,33,113,8,2
194,Wanita,38,113,91,4
195,Wanita,47,120,16,2
196,Wanita,35,120,79,4
197,Wanita,45,126,28,2
198,Pria,32,126,74,4
